ticid,observe_kpf,observe_neid,toi,tess_mag,num_pc,ra,dec,epoch,period,planet_radius,planet_insolation,planet_eqtemp,stellar_distance,stellar_teff,stellar_logg,stellar_radius,mass,mh,v_mag,vsini,t_sec_kpf
242674266,True,False,7219.01,11.9146,1,293.952459,-9.613936,2460532.393,2.9069573,13.8539,285.031,1144.0,329.719,5744.0,4.28,1.22,1.027,,12.77499962,3.368173888,333
220068921,True,False,2369.01,12.1227,1,83.913807,4.82797,2458489.438,3.36376,10.7493,705.699,1435.0,418.29,5713.3,4.24,1.27,1.02,0.504,12.84799957,3.250988248,340
339207264,True,False,6050.01,11.2873,1,84.398599,64.981529,2459912.8,5.482359603,15.28166649,1118.657778,1475.006932,462.414,6243.0,3.98185,1.85995996,1.21,,11.9460001,7.5989856,355
329373799,True,False,3605.01,11.789,1,332.715604,54.481231,2459851.821,3.6554335,15.7486,1005.1,1568.0,526.417,6321.0,4.15,1.56,1.25,,11.93999958,7.490191593,360
202941251,True,False,5891.01,11.3909,1,304.450192,30.687351,2459823.632,4.1784844,15.7612,1094.98,1602.0,688.501,6283.0,3.77,2.4,1.228,,11.85000038,8.108470682,361
160432093,True,False,5971.01,10.9852,1,322.75454,30.003448,2459828.685,3.991401205,17.00877653,1687.756639,1634.734416,427.467,6528.05,4.0799,1.751649976,1.345,0.136,11.52999973,10.0,390
84599716,True,False,4615.01,11.7892,1,96.679195,25.205001,2459550.58,5.319375537,19.66846395,1968.900323,1698.93077,835.907,6350.0,3.78918,2.369339943,1.26,,11.77000046,9.100702831,393
267215820,True,False,5300.01,12.4559,1,356.481137,0.458798,2459470.418,2.2623535,11.9692,131.906,944.0,162.51,4219.0,4.53,0.73,0.66,,13.73099995,1.414082437,399
1870990135,True,False,3514.01,12.8953,1,295.556776,32.614099,2459445.483,1.5039495,17.3816,1141.17,1619.0,413.169,5623.0,4.54,0.95,1.0,,13.11900043,2.943397982,399
271307949,True,False,4766.01,12.6574,1,117.097528,2.111455,2459963.946,1.932657257,10.50883072,484.1155352,1196.346558,300.512,4909.0,4.47,0.8617429733,0.804,,13.50699997,1.723232349,402
389421473,True,False,2190.01,12.5965,1,311.751171,-38.670656,2459041.22,5.316070436,19.50064686,621.3098726,1273.347128,677.662,5477.0,4.4,1.552270055,1.01,,13.23999977,2.545287016,406
354742440,True,False,6315.01,12.0193,1,6.18687,58.468546,2459906.723,4.4532909,13.8211,1510.03,1736.0,751.084,5613.0,3.49,2.97,0.99,,13.0,4.036665828,406
422457210,True,False,6163.01,12.7912,1,351.133548,4.604684,2459843.242,9.9754699,15.8848,60.6571,777.0,442.143,5472.0,4.42,1.0,0.96,,13.24499989,2.533512805,406
422385684,True,False,2561.01,12.1504,1,318.600471,66.404803,2459852.046,2.7754004,15.2778,966.571,1553.0,581.074,5905.0,4.05,1.62,1.07,,12.82400036,4.108262707,409
32260988,True,False,5684.01,12.4344,1,233.688677,-9.344444,2459716.553,1.1000285,16.0194,1114.93,1609.0,340.9,5644.0,4.53,0.9,1.0,,13.15499973,3.010295287,418
270471065,True,False,3433.01,12.7445,1,135.455975,0.969613,2459246.895,2.7765784,6.07883,130.312,941.0,210.527,4348.2,4.48,0.78,0.68,0.282478,13.82199955,1.445824132,428
47937361,True,False,4131.01,12.8667,1,280.9612,48.134073,2459797.859,2.3382502,11.123,438.011,1274.0,411.113,5263.0,4.45,0.94,0.9,,13.4989996,2.129249701,438
190822775,True,False,6166.01,12.128,1,325.981963,46.57116,2459850.643,1.8021196,13.3235,1374.91,1696.0,413.383,6012.0,4.4,1.1,1.111,,12.77000046,4.741357578,440
165723070,True,False,3907.01,12.8532,1,231.249864,57.815109,2459714.521,1.7213564,10.674,559.726,1355.0,381.744,5072.0,4.42,0.95,0.85,,13.625,1.876872526,440
274641986,True,False,3545.01,11.5954,1,301.314408,37.349804,2459772.933,3.187208629,21.2058311,2037.664119,1713.574138,567.193,6578.0,4.14,1.641569972,1.37,,11.71000004,10.0,440
97825640,True,False,2989.01,12.7103,1,171.231675,-27.062362,2459302.225,3.1228396,13.4539,86.7639,850.0,195.795,4262.0,4.49,0.77,0.666,,13.94999981,1.4237943,444
9136777,True,False,6356.01,11.8848,1,67.605011,56.394465,2459930.555,3.7799201,16.2502,674.743,1419.0,374.605,6121.6,4.38,1.14,1.156,-0.113,12.56900024,5.538061784,444
58372253,True,False,5328.01,11.2303,1,65.293362,27.16792,2459519.398,5.4886518,17.6429,1434.4,1714.0,410.855,6119.8,3.69,2.54,1.15,0.036,12.43299961,6.344750889,446
37150278,True,False,5692.01,12.5806,1,232.046386,-10.555269,2459717.173,1.6929628,12.4331,384.155,1233.0,306.397,5250.0,4.42,0.97,0.898,,13.54699993,2.109018122,447
124174267,True,False,3107.01,12.477,1,196.726352,-31.716391,2459330.174,4.7343852,18.0528,593.089,1465.0,650.592,5776.0,4.05,1.6,1.04,,13.1420002,3.497820172,450
67566164,True,False,4196.01,12.5345,1,16.001037,-31.68549,2458404.327,3.125924,17.3686,600.297,1378.0,560.078,5828.0,4.28,1.24,1.05,,13.10099983,3.726053925,452
420268415,True,False,4436.01,11.8931,1,308.426581,87.009328,2459767.611,1.759056594,20.95778638,5910.485502,2236.276699,621.061,6250.0,3.91912,1.999250054,1.21,,12.22999954,7.684076889,456
341299943,True,False,5905.01,12.8127,1,311.466288,13.840621,2459822.0,3.0233509,11.3795,201.365,1049.0,296.925,4881.0,4.5,0.84,0.797,,13.80099964,1.701304832,462
420114036,True,False,4162.01,12.095,1,290.391821,73.350122,2459737.854,4.3744258,19.4866,1159.28,1625.0,725.754,6013.0,3.86,2.05,1.11,,12.72099972,5.557773358,464
149995163,True,False,3815.01,12.3972,1,109.358531,49.840082,2459604.924,4.8709815,21.2108,611.598,1385.0,790.338,5908.0,3.92,1.87,1.07,,12.94900036,4.982665407,470
330795142,True,False,3835.01,12.5984,1,144.395927,28.24536,2459633.636,1.3460633,14.2662,1231.36,1650.0,504.711,5788.7,4.38,1.09,1.04,0.317263,13.19799995,3.551498599,470
18373995,True,False,4617.01,12.357,1,71.022672,22.567602,2459474.422,3.487875375,16.8851071,706.3971426,1314.867476,333.973,5752.44,4.27789,1.220409989,1.03,0.254,13.25300026,3.401606471,475
435259601,True,False,4660.01,13.2616,1,51.999785,12.523415,2459523.063,1.5090806,14.3177,365.719,1218.0,257.346,4674.0,4.46,0.84,0.745,,13.98200035,1.570811042,476
366972162,True,False,4170.01,12.3623,1,337.594234,77.865504,2459738.853,2.190225,15.1395,1559.45,1750.0,587.217,5929.0,4.09,1.56,1.08,,13.09399986,4.239284071,481
312811620,True,False,3788.01,11.3321,1,94.432577,54.381306,2458863.846,3.0923729,15.1739,1605.66,1763.0,516.643,6510.2,4.07,1.76,1.34,-0.0290486,11.98999977,10.0,482
220144363,True,False,4199.01,11.5141,1,99.039982,6.472367,2458487.707,4.4466179,16.7023,1257.77,1659.0,598.941,6534.0,4.03,1.85,1.347,,11.99499989,10.0,486
154926644,True,False,7000.01,12.5322,1,206.086781,85.112826,2460336.037,2.7897577,15.2527,1126.92,1614.0,1238.77,5794.0,3.52,2.92,1.04,,13.12800026,4.522843749,489
11034516,True,False,5861.01,12.5375,1,297.980126,24.038241,2459771.876,14.3033451,17.1437,72.8052,813.0,432.745,5862.0,4.42,1.05,1.06,,13.20899963,3.887949953,492
367425982,True,False,3937.01,12.9577,1,334.133015,66.860571,2460435.856,1.692357285,12.76967024,762.5979736,1340.274211,367.428,5287.0,4.5,0.8887599707,0.908,,13.81499958,2.167938897,498
222485202,True,False,5838.01,12.8557,1,284.84062,9.130169,2459791.743,3.5982966,13.0275,43.9473,717.0,218.118,4458.0,4.54,0.75,0.699,,14.13899994,1.479651941,519
32443914,True,False,6777.01,11.9656,1,290.594959,-31.383219,2460150.328,3.3615701,16.5271,1734.68,1797.0,730.364,6258.0,3.97,1.9,1.22,,12.43400002,7.783388347,520
389040826,True,False,5511.01,12.8656,1,141.997153,4.213192,2459575.042,4.7174703,5.77392,6.87901,451.0,106.339,3628.0,4.72,0.51,0.51201,,14.82800007,1.337115004,540
251705938,True,False,6370.01,12.0907,1,46.542182,57.075669,2459934.386,2.9124991,16.4233,1711.93,1792.0,534.894,6051.0,3.94,1.89,1.13,,13.00800037,5.81124611,571
240535286,True,False,7367.01,12.3021,1,323.962083,44.312619,2460578.688,2.9814911,13.0485,575.825,1364.0,363.454,6168.0,4.57,0.93,1.176,,12.93599987,5.928653654,579
408506314,True,False,6868.01,12.8562,1,3.276119,7.660267,2460227.772,3.4106422,11.8996,804.639,1483.0,708.514,5222.0,3.83,1.89,0.89,,13.72299957,3.54649319,599
375654303,True,False,4034.01,12.5798,1,335.146984,71.767346,2459853.88,1.8020923,17.3634,1870.78,1832.0,745.145,5760.0,3.92,1.85,1.03,,13.34399986,4.411798626,607
395214388,True,False,7095.01,12.3311,1,335.259662,57.081072,2460416.358,4.6745746,13.7841,3744.12,2179.0,1078.06,5759.0,3.29,3.8,1.03,,13.38599968,4.408689944,633
280254984,True,False,3758.01,12.5489,1,41.323613,69.106259,2459736.687,3.4177514,15.3577,734.21,1450.0,477.787,5868.0,4.1,1.52,1.06,,13.45600033,3.917621388,650
160347548,True,False,2798.01,12.8054,1,91.437408,-33.187516,2459221.168,3.994474,18.9963,896.598,1524.0,836.501,5931.0,4.06,1.61,1.08,,13.37699986,4.250474599,655
144628120,True,False,2836.01,11.4675,1,121.482329,-30.93849,2459251.668,3.2379325,11.1634,1164.58,1627.0,388.876,6434.3,4.46,1.19,1.322,,12.42000008,8.977055217,667
285592400,True,False,7425.01,12.0637,1,13.132258,64.334238,2460633.588,1.2815706,18.9642,2895.35,2043.0,516.534,6327.0,4.12,1.6,1.249,,12.80900002,7.561163549,719
331146317,True,False,3602.01,11.7506,1,325.972143,54.574269,2459827.141,2.387473072,15.94273359,1799.10071,1661.053491,432.426,6566.0,4.36,1.273790002,1.36,,12.32999992,10.0,722
387416841,True,False,7311.01,12.9141,1,318.446458,1.178134,2460555.006,1.5525382,16.0284,724.353,1445.0,834.929,5730.0,3.96,1.75,1.02,,13.6079998,4.322222407,736
341420329,False,False,1019.01,10.6348,1,120.147994,-54.878552,2459232.447,5.234100758,24.29314079,1453.666385,1574.838185,399.544,7645.0,4.3,1.562029958,1.79,,10.89000034,2.0,120
193413306,False,False,1091.01,9.3529,1,222.101134,-56.025931,2459359.555,1.725841,15.0024,50469.2,4175.0,321.671,7348.0,3.9,2.39,1.67,,9.710000038,2.0,120
69068526,False,False,1196.01,10.4318,1,291.707693,17.808736,2459785.498,5.5376617,15.6557,351.929,1206.0,424.442,6689.0,3.96,2.06,1.417,,10.92000008,2.0,120
375223080,False,False,1095.01,10.4291,1,133.968965,-75.926187,2459307.386,1.482138615,13.73392612,18197.13545,2962.241804,582.521,7066.0,3.78,2.664730072,1.56,,10.66899967,2.0,120
119925436,False,False,2636.01,10.9786,1,162.41273,-50.599282,2459280.998,3.105490118,15.75216471,2621.020132,1824.89272,502.342,7176.0,4.13,1.902240038,,,11.10599995,2.0,120
80711765,False,False,2549.01,11.732,1,121.98269,-44.666911,2459230.289,4.858050098,,1349.901787,1545.949463,970.123,8303.0,4.438,,,,11.65999985,2.0,120
443115574,False,False,2538.01,10.597,1,95.226318,-7.29894,2459226.242,2.9103781,12.2597,4501.88,2282.0,906.746,7340.8,4.09,3.5,1.93,,10.89000034,2.0,120
126572546,False,False,2527.01,11.1673,1,136.653301,-50.48045,2459989.812,2.3018922,12.146,4411.81,2270.0,743.085,6919.0,3.54,3.45,1.51,,11.89099979,2.0,120
283303192,False,False,2741.01,11.7299,1,104.005957,-0.442588,2459210.247,2.9884191,16.3009,1658.79,1777.0,518.63,6636.0,4.29,1.4,1.394,,12.1420002,2.0,120
147125706,False,False,2757.01,12.6603,1,104.335512,-14.109962,2459221.438,3.4813976,20.9129,687.809,1426.0,792.979,6704.0,4.3,1.4,1.42,,13.10999966,2.0,120
247518629,False,False,2790.01,12.273,1,85.967216,16.360063,2459547.21,2.3341583,20.0937,3201.05,2095.0,832.581,6901.0,4.04,1.93,1.5,,12.82800007,2.0,120
307201632,False,False,6326.01,12.1684,1,14.976875,49.034174,2459907.562,2.3556749,16.7502,2508.24,1971.0,796.313,6708.0,4.1,1.75,1.42,,12.5,2.0,120
272218608,False,False,6314.01,13.3085,1,355.682379,62.468362,2459904.681,3.1777383,19.2706,2620.94,1993.0,980.327,7233.0,4.02,2.06,1.62,,14.36100006,2.0,120
344568128,False,False,3045.01,11.8172,1,156.217054,-69.29013,2459356.118,2.3304358,17.6763,5011.25,2343.0,835.785,7763.0,4.21,1.77,1.83,,12.57999992,2.0,120
439512298,False,False,2964.01,12.484,1,143.626372,-56.592738,2459329.67,3.8331282,12.9506,1782.41,1810.0,644.948,8408.0,4.57,1.24,2.08,,12.92700005,2.0,120
295093397,False,False,2901.01,11.9357,1,140.609503,-52.043622,2459303.995,4.6086828,20.3715,2197.47,1907.0,808.284,8097.0,4.26,1.72,1.97,,12.35999966,2.0,120
48253329,False,False,5826.01,11.7134,1,298.181417,-14.356986,2459788.108,2.8140207,17.2648,2559.93,1981.0,774.122,7456.0,4.09,1.96,1.71,,12.75,2.0,120
133850380,False,False,6550.01,10.8597,1,121.454664,-41.135631,2460002.897,6.9153868,15.9616,2475.48,1965.0,553.272,6649.3,4.37,2.05,2.08,,11.18999958,2.0,120
420369105,False,False,6765.01,12.1662,1,251.037059,-58.984634,2460122.567,2.7967251,19.3726,724.258,1445.0,1324.29,7566.0,3.85,2.61,1.75,,12.31400013,2.0,120
381448973,False,False,6751.01,12.6752,1,257.381418,-47.403434,2460117.399,2.9419791,15.3905,2295.26,1928.0,722.785,7277.0,4.35,1.42,1.64,,12.88500023,2.0,120
35582553,False,False,649.01,10.0461,1,102.22267,-13.527269,2459225.99,0.9370901,9.49947,3103.07,2079.0,430.622,6779.0,3.83,2.43,1.454,,10.39000034,2.0,120
444753130,False,False,6316.01,12.6927,1,25.177088,61.00972,2459905.111,3.0057526,17.9698,2928.62,2049.0,943.154,7581.0,4.2,1.74,1.76,,13.19099998,2.0,120
439618305,False,False,6514.01,11.9783,1,143.52393,-54.905421,2460034.691,4.0236761,16.953,9268.26,2733.0,965.229,9833.0,4.18,2.14,2.51,,12.33899975,2.0,120
318668441,False,False,3210.01,12.7521,1,173.340353,-63.341897,2459359.909,2.2364485,24.5257,3957.51,2209.0,709.721,6905.0,4.26,1.51,1.5,,13.41300011,2.0,120
164260243,False,False,6162.01,10.9837,1,336.085732,34.158724,2459852.117,1.8478843,18.4423,3803.45,2187.0,499.081,7218.8,4.21,1.65,1.62,0.238,11.25,2.0,120
431660224,False,False,6233.01,11.1585,1,358.489622,52.533524,2459876.5,3.7069545,12.7103,517.456,1328.0,377.069,6643.0,4.23,1.49,1.397,,11.70100021,2.0,120
336613507,False,False,3192.01,12.882,1,196.373989,-66.385163,2459356.691,2.2350331,22.5855,2662.36,2001.0,860.344,7057.0,4.27,1.51,1.56,,13.42700005,2.0,120
92590258,False,False,6103.01,10.6664,1,128.717977,-49.932522,2459965.819,3.242242408,13.80823284,1534.99081,1596.416451,295.408,7069.0,4.40124,1.303089976,1.56,,10.80000019,2.0,120
152245179,False,False,6107.01,11.8338,1,119.888415,-32.706065,2459966.34,3.789901771,23.92625496,12025.91816,2670.848848,1311.48,7810.0,4.08,2.642060041,2.39,,12.11999989,2.0,120
130415266,False,False,588.01,7.3123,1,104.74986,-47.023366,2459981.726,39.4718663,16.3498,176.652,1015.0,154.186,10416.0,4.35,1.82,2.69,,7.269999981,2.0,120
209935997,False,False,5845.01,11.4599,1,298.101717,16.668394,2459794.325,1.9081122,18.193,5740.22,2424.0,1465.57,8944.0,3.75,3.3,2.26,,11.68000031,2.0,120
395143000,False,False,5837.01,12.4152,1,287.099114,17.113422,2459795.483,2.9665122,13.1813,2634.75,1995.0,614.974,7564.0,4.35,1.46,1.75,,12.99199963,2.0,120
406495245,False,False,5128.01,8.2893,1,143.31764,9.168421,2460274.611,7.6014943,9.00796,492.37,1312.0,193.998,7642.0,4.09,1.99,1.79,,8.5,2.0,120
438073782,False,False,5091.01,11.4438,1,95.635062,14.017632,2459546.829,3.6413702,16.4955,1340.13,1685.0,500.511,6832.0,4.2575,1.5,1.475,,11.81000042,2.0,120
